seq1,seq2,aln_length,pid
LSUa_186497_PYRFU,LSUASG_RBG-16-3040,45,26.67
LSUa_186497_PYRFU,LSUASG_RBG-16-38,51,35.29
LSUa_186497_PYRFU,LSUASG_B40-G15_FREYA,52,40.38
LSUa_186497_PYRFU,LSUASG_1837170_THOR,57,14.04
LSUa_186497_PYRFU,LSUASG_2053491_THOR,59,25.42
LSUa_186497_PYRFU,LSUASG_1936271_ODIN,57,33.33
LSUa_186497_PYRFU,LSUASG_115547_ODIN,57,33.33
LSUa_186497_PYRFU,LSUASG_2026747_HEIM,114,13.16
LSUa_186497_PYRFU,LSUASG_B18G1_HEIM,130,13.85
LSUa_186497_PYRFU,LSUASG_B53-G9_LOKI,94,18.09
LSUa_186497_PYRFU,LSUASG_MK-D1_LOKI,94,17.02
LSUa_186497_PYRFU,LSUASG_AMARA-1S_LOKI,166,12.05
LSUa_186497_PYRFU,LSUASG_b32_LOKI,168,10.71
LSUa_186497_PYRFU,LSUASG_TEKIR-5S_LOKI,166,11.45
LSUa_186497_PYRFU,LSUASG_1538547_LOKI,194,8.76
LSUa_186497_PYRFU,LSUASG_BC1_LOKI,198,8.08
LSUa_186497_PYRFU,LSUASG_NODE_2003,202,9.90
LSUa_186497_PYRFU,LSUASG_NODE_1615,197,9.64
LSUa_186497_PYRFU,LSUASG_NODE_1830,225,7.56
LSUa_186497_PYRFU,LSUASG_F3H4_B5_LOKI,191,9.42
LSUASG_RBG-16-3040,LSUASG_RBG-16-38,48,25.00
LSUASG_RBG-16-3040,LSUASG_B40-G15_FREYA,49,18.37
LSUASG_RBG-16-3040,LSUASG_1837170_THOR,54,25.93
LSUASG_RBG-16-3040,LSUASG_2053491_THOR,56,21.43
LSUASG_RBG-16-3040,LSUASG_1936271_ODIN,56,19.64
LSUASG_RBG-16-3040,LSUASG_115547_ODIN,56,21.43
LSUASG_RBG-16-3040,LSUASG_2026747_HEIM,114,13.16
LSUASG_RBG-16-3040,LSUASG_B18G1_HEIM,129,9.30
LSUASG_RBG-16-3040,LSUASG_B53-G9_LOKI,93,13.98
LSUASG_RBG-16-3040,LSUASG_MK-D1_LOKI,93,13.98
LSUASG_RBG-16-3040,LSUASG_AMARA-1S_LOKI,166,9.64
LSUASG_RBG-16-3040,LSUASG_b32_LOKI,168,5.95
LSUASG_RBG-16-3040,LSUASG_TEKIR-5S_LOKI,166,8.43
LSUASG_RBG-16-3040,LSUASG_1538547_LOKI,194,6.19
LSUASG_RBG-16-3040,LSUASG_BC1_LOKI,198,6.06
LSUASG_RBG-16-3040,LSUASG_NODE_2003,202,4.95
LSUASG_RBG-16-3040,LSUASG_NODE_1615,197,6.60
LSUASG_RBG-16-3040,LSUASG_NODE_1830,225,4.00
LSUASG_RBG-16-3040,LSUASG_F3H4_B5_LOKI,191,5.76
LSUASG_RBG-16-38,LSUASG_B40-G15_FREYA,48,45.83
LSUASG_RBG-16-38,LSUASG_1837170_THOR,54,24.07
LSUASG_RBG-16-38,LSUASG_2053491_THOR,58,31.03
LSUASG_RBG-16-38,LSUASG_1936271_ODIN,58,27.59
LSUASG_RBG-16-38,LSUASG_115547_ODIN,58,27.59
LSUASG_RBG-16-38,LSUASG_2026747_HEIM,116,16.38
LSUASG_RBG-16-38,LSUASG_B18G1_HEIM,131,14.50
LSUASG_RBG-16-38,LSUASG_B53-G9_LOKI,94,23.40
LSUASG_RBG-16-38,LSUASG_MK-D1_LOKI,94,23.40
LSUASG_RBG-16-38,LSUASG_AMARA-1S_LOKI,168,11.31
LSUASG_RBG-16-38,LSUASG_b32_LOKI,169,14.20
LSUASG_RBG-16-38,LSUASG_TEKIR-5S_LOKI,167,13.17
LSUASG_RBG-16-38,LSUASG_1538547_LOKI,194,12.37
LSUASG_RBG-16-38,LSUASG_BC1_LOKI,198,10.61
LSUASG_RBG-16-38,LSUASG_NODE_2003,202,10.40
LSUASG_RBG-16-38,LSUASG_NODE_1615,197,13.20
LSUASG_RBG-16-38,LSUASG_NODE_1830,225,9.33
LSUASG_RBG-16-38,LSUASG_F3H4_B5_LOKI,191,12.57
LSUASG_B40-G15_FREYA,LSUASG_1837170_THOR,55,36.36
LSUASG_B40-G15_FREYA,LSUASG_2053491_THOR,59,40.68
LSUASG_B40-G15_FREYA,LSUASG_1936271_ODIN,59,38.98
LSUASG_B40-G15_FREYA,LSUASG_115547_ODIN,59,40.68
LSUASG_B40-G15_FREYA,LSUASG_2026747_HEIM,117,19.66
LSUASG_B40-G15_FREYA,LSUASG_B18G1_HEIM,132,21.21
LSUASG_B40-G15_FREYA,LSUASG_B53-G9_LOKI,95,22.11
LSUASG_B40-G15_FREYA,LSUASG_MK-D1_LOKI,95,24.21
LSUASG_B40-G15_FREYA,LSUASG_AMARA-1S_LOKI,169,14.79
LSUASG_B40-G15_FREYA,LSUASG_b32_LOKI,170,14.12
LSUASG_B40-G15_FREYA,LSUASG_TEKIR-5S_LOKI,168,12.50
LSUASG_B40-G15_FREYA,LSUASG_1538547_LOKI,195,11.79
LSUASG_B40-G15_FREYA,LSUASG_BC1_LOKI,198,11.11
LSUASG_B40-G15_FREYA,LSUASG_NODE_2003,203,11.82
LSUASG_B40-G15_FREYA,LSUASG_NODE_1615,198,12.12
LSUASG_B40-G15_FREYA,LSUASG_NODE_1830,225,10.67
LSUASG_B40-G15_FREYA,LSUASG_F3H4_B5_LOKI,192,14.06
LSUASG_1837170_THOR,LSUASG_2053491_THOR,57,57.89
LSUASG_1837170_THOR,LSUASG_1936271_ODIN,58,20.69
LSUASG_1837170_THOR,LSUASG_115547_ODIN,58,22.41
